PicoQuant FluoFit-style Python Export
Saved : 06/18/2026 01:08:41 PM

Python single-exponential reconvolution fit

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #0 Decay:
"tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 7.4553 ; Fitted Data Points: 3642

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    0.000000           0    0.000000           0    0.000000      0.0000    0.000000     -0.0000
    0.012207           0    0.012207           0    0.012207      0.0000    0.012207     -0.0000
    0.024414           0    0.024414           0    0.024414      0.0000    0.024414     -0.0000
    0.036621           0    0.036621           0    0.036621      0.0000    0.036621     -0.0000
    0.048828           0    0.048828           0    0.048828      0.0000    0.048828     -0.0000
    0.061035           0    0.061035           0    0.061035      0.0000    0.061035     -0.0000
    0.073242           0    0.073242           0    0.073242      0.0000    0.073242     -0.0000
    0.085449           0    0.085449           0    0.085449      0.0000    0.085449     -0.0000
    0.097656           0    0.097656           0    0.097656      0.0000    0.097656     -0.0000
    0.109863           0    0.109863           0    0.109863      0.0000    0.109863     -0.0000
    0.122070           0    0.122070           0    0.122070      0.0000    0.122070     -0.0000
    0.134277           0    0.134277           0    0.134277      0.0000    0.134277     -0.0000
    0.146484           0    0.146484           0    0.146484      0.0000    0.146484     -0.0000
    0.158691           0    0.158691           0    0.158691      0.0000    0.158691     -0.0000
    0.170898           0    0.170898           0    0.170898      0.0000    0.170898     -0.0000
    0.183105           0    0.183105           0    0.183105      0.0000    0.183105     -0.0000
    0.195313           0    0.195313           0    0.195313      0.0000    0.195313     -0.0000
    0.207520           0    0.207520           0    0.207520      0.0000    0.207520     -0.0000
    0.219727           0    0.219727           0    0.219727      0.0000    0.219727     -0.0000
    0.231934           0    0.231934           0    0.231934      0.0000    0.231934     -0.0000
    0.244141           0    0.244141           0    0.244141      0.0000    0.244141     -0.0000
    0.256348           0    0.256348           0    0.256348      0.0000    0.256348     -0.0000
    0.268555           0    0.268555           0    0.268555      0.0000    0.268555     -0.0000
    0.280762           0    0.280762           0    0.280762      0.0000    0.280762     -0.0000
    0.292969           0    0.292969           0    0.292969      0.0000    0.292969     -0.0000
    0.305176           0    0.305176           0    0.305176      0.0000    0.305176     -0.0000
    0.317383           0    0.317383           0    0.317383      0.0000    0.317383     -0.0000
    0.329590           0    0.329590           0    0.329590      0.0000    0.329590     -0.0000
    0.341797           0    0.341797           0    0.341797      0.0000    0.341797     -0.0000
    0.354004           0    0.354004           0    0.354004      0.0000    0.354004     -0.0000
    0.366211           0    0.366211           0    0.366211      0.0000    0.366211     -0.0000
    0.378418           0    0.378418           0    0.378418      0.0000    0.378418     -0.0000
    0.390625           0    0.390625           0    0.390625      0.0000    0.390625     -0.0000
    0.402832           0    0.402832           0    0.402832      0.0000    0.402832     -0.0000
    0.415039           0    0.415039           0    0.415039      0.0000    0.415039     -0.0000
    0.427246           0    0.427246           0    0.427246      0.0000    0.427246     -0.0000
    0.439453           0    0.439453           0    0.439453      0.0000    0.439453     -0.0000
    0.451660           0    0.451660           0    0.451660      0.0000    0.451660     -0.0000
    0.463867           0    0.463867           0    0.463867      0.0000    0.463867     -0.0000
    0.476074           0    0.476074           0    0.476074      0.0000    0.476074     -0.0000
    0.488281           0    0.488281           0    0.488281      0.0000    0.488281     -0.0000
    0.500488           0    0.500488           0    0.500488      0.0000    0.500488     -0.0000
    0.512695           0    0.512695           0    0.512695      0.0000    0.512695     -0.0000
    0.524902           0    0.524902           0    0.524902      0.0000    0.524902     -0.0000
    0.537109           0    0.537109           0    0.537109      0.0000    0.537109     -0.0000
    0.549316           0    0.549316           0    0.549316      0.0000    0.549316     -0.0000
    0.561523           0    0.561523           0    0.561523      0.0000    0.561523     -0.0000
    0.573730           0    0.573730           0    0.573730      0.0000    0.573730     -0.0000
    0.585938           0    0.585938           0    0.585938      0.0000    0.585938     -0.0000
    0.598145           0    0.598145           0    0.598145      0.0000    0.598145     -0.0000
    0.610352           0    0.610352           0    0.610352      0.0000    0.610352     -0.0000
    0.622559           0    0.622559           0    0.622559      0.0000    0.622559     -0.0000
    0.634766           0    0.634766           0    0.634766      0.0000    0.634766     -0.0000
    0.646973           0    0.646973           0    0.646973      0.0000    0.646973     -0.0000
    0.659180           0    0.659180           0    0.659180      0.0000    0.659180     -0.0000
    0.671387           0    0.671387           0    0.671387      0.0000    0.671387     -0.0000
    0.683594           0    0.683594           0    0.683594      0.0000    0.683594     -0.0000
    0.695801           0    0.695801           0    0.695801      0.0000    0.695801     -0.0000
    0.708008           0    0.708008           0    0.708008      0.0000    0.708008     -0.0000
    0.720215           0    0.720215           0    0.720215      0.0000    0.720215     -0.0000
    0.732422           0    0.732422           0    0.732422      0.0000    0.732422     -0.0000
    0.744629           0    0.744629           0    0.744629      0.0000    0.744629     -0.0000
    0.756836           0    0.756836           0    0.756836      0.0000    0.756836     -0.0000
    0.769043           0    0.769043           0    0.769043      0.0000    0.769043     -0.0000
    0.781250           0    0.781250           0    0.781250      0.0000    0.781250     -0.0000
    0.793457           0    0.793457           0    0.793457      0.0000    0.793457     -0.0000
    0.805664           0    0.805664           0    0.805664      0.0000    0.805664     -0.0000
    0.817871           0    0.817871           0    0.817871      0.0000    0.817871     -0.0000
    0.830078           0    0.830078           0    0.830078      0.0000    0.830078     -0.0000
    0.842285           0    0.842285           0    0.842285      0.0000    0.842285     -0.0000
    0.854492           0    0.854492           0    0.854492      0.0000    0.854492     -0.0000
    0.866699           0    0.866699           0    0.866699      0.0000    0.866699     -0.0000
    0.878906           0    0.878906           0    0.878906      0.0000    0.878906     -0.0000
    0.891113           0    0.891113           0    0.891113      0.0000    0.891113     -0.0000
    0.903320           0    0.903320           0    0.903320      0.0000    0.903320     -0.0000
    0.915527           0    0.915527           0    0.915527      0.0000    0.915527     -0.0000
    0.927734           0    0.927734           0    0.927734      0.0000    0.927734     -0.0000
    0.939941           0    0.939941           0    0.939941      0.0000    0.939941     -0.0000
    0.952148           0    0.952148           0    0.952148      0.0000    0.952148     -0.0000
    0.964355           0    0.964355           0    0.964355      0.0000    0.964355     -0.0000
    0.976563           0    0.976563           0    0.976563      0.0000    0.976563     -0.0000
    0.988770           0    0.988770           0    0.988770      0.0000    0.988770     -0.0000
    1.000977           0    1.000977           0    1.000977      0.0000    1.000977     -0.0000
    1.013184           0    1.013184           0    1.013184      0.0000    1.013184     -0.0000
    1.025391           0    1.025391           0    1.025391      0.0000    1.025391     -0.0000
    1.037598           0    1.037598           0    1.037598      0.0000    1.037598     -0.0000
    1.049805           0    1.049805           0    1.049805      0.0000    1.049805     -0.0000
    1.062012           0    1.062012           0    1.062012      0.0000    1.062012     -0.0000
    1.074219           0    1.074219           0    1.074219      0.0000    1.074219     -0.0000
    1.086426           0    1.086426           0    1.086426      0.0000    1.086426     -0.0000
    1.098633           0    1.098633           0    1.098633      0.0000    1.098633     -0.0000
    1.110840           0    1.110840           0    1.110840      0.0000    1.110840     -0.0000
    1.123047           0    1.123047           0    1.123047      0.0000    1.123047     -0.0000
    1.135254           0    1.135254           0    1.135254      0.0000    1.135254     -0.0000
    1.147461           0    1.147461           0    1.147461      0.0000    1.147461     -0.0000
    1.159668           0    1.159668           0    1.159668      0.0000    1.159668     -0.0000
    1.171875           0    1.171875           0    1.171875      0.0000    1.171875     -0.0000
    1.184082           0    1.184082           0    1.184082      0.0000    1.184082     -0.0000
    1.196289           0    1.196289           0    1.196289      0.0000    1.196289     -0.0000
    1.208496           0    1.208496           0    1.208496      0.0000    1.208496     -0.0000
    1.220703           0    1.220703           0    1.220703      0.0000    1.220703     -0.0000
    1.232910           0    1.232910           0    1.232910      0.0000    1.232910     -0.0000
    1.245117           0    1.245117           0    1.245117      0.0000    1.245117     -0.0000
    1.257324           0    1.257324           0    1.257324      0.0000    1.257324     -0.0000
    1.269531           0    1.269531           0    1.269531      0.0000    1.269531     -0.0000
